section_order,section_key,section_name,item_order,item_key,item_label,assessment_type,skill_key,learner_score,instructor_score,notes,last_assessed
5,roundabouts,Roundabouts,5,RNDB-05,"Select and maintain the correct lane on multi-lane roundabouts",score_1_3,junctions,,,,
6,crossroads,Crossroads,1,CROSS-01,"Turn left from a minor road into a major road at a crossroads",score_1_3,junctions,,,,
6,crossroads,Crossroads,2,CROSS-02,"Turn right from a minor road into a major road at a crossroads",score_1_3,junctions,,,,
6,crossroads,Crossroads,3,CROSS-03,"Turn left from a major road into a minor road at a crossroads",score_1_3,junctions,,,,
6,crossroads,Crossroads,4,CROSS-04,"Turn right from a major road into a minor road at a crossroads",score_1_3,junctions,,,,
6,crossroads,Crossroads,5,CROSS-05,"Follow the road ahead through a crossroads",score_1_3,junctions,,,,
7,higher_speed_rural,Higher-speed and rural roads,1,ROAD-01,"Merge onto a dual carriageway from a slip road",score_1_3,judgement,,,,
7,higher_speed_rural,Higher-speed and rural roads,2,ROAD-02,"Leave a dual carriageway using a slip road",score_1_3,positioning,,,,
7,higher_speed_rural,Higher-speed and rural roads,3,ROAD-03,"Overtake slower-moving vehicles safely",score_1_3,judgement,,,,
7,higher_speed_rural,Higher-speed and rural roads,4,ROAD-04,"Understand when and how to use an emergency area",score_1_3,signs_signals,,,,
7,higher_speed_rural,Higher-speed and rural roads,5,ROAD-05,"Use location markers and emergency telephones when needed",score_1_3,signs_signals,,,,
7,higher_speed_rural,Higher-speed and rural roads,6,ROAD-06,"Adapt to country lanes with changing speeds and widths",score_1_3,positioning,,,,
7,higher_speed_rural,Higher-speed and rural roads,7,ROAD-07,"Leave enough space when stopping behind another vehicle to see its tyres and the road surface",score_1_3,positioning,,,,
7,higher_speed_rural,Higher-speed and rural roads,8,ROAD-08,"Use limit points to choose an appropriate speed and position",score_1_3,judgement,,,,
8,manoeuvres,Manoeuvres,1,MAN-01,"Reverse into a parking bay and drive out",score_1_3,manoeuvres,,,,
8,manoeuvres,Manoeuvres,2,MAN-02,"Drive forwards into a parking bay and reverse out",score_1_3,manoeuvres,,,,
8,manoeuvres,Manoeuvres,3,MAN-03,"Parallel park at the side of the road",score_1_3,manoeuvres,,,,
8,manoeuvres,Manoeuvres,4,MAN-04,"Pull up on the right reverse and rejoin traffic safely",score_1_3,manoeuvres,,,,
8,manoeuvres,Manoeuvres,5,MAN-05,"Reverse around a corner",score_1_3,manoeuvres,,,,
8,manoeuvres,Manoeuvres,6,MAN-06,"Turn the vehicle around in the road",score_1_3,manoeuvres,,,,
9,broader_safety,Broader safety and driving experience,1,SAFE-01,"Deal safely with automated traffic-control systems",score_1_3,signs_signals,,,,
9,broader_safety,Broader safety and driving experience,2,SAFE-02,"Approach and use pedestrian crossings safely",score_1_3,positioning,,,,
9,broader_safety,Broader safety and driving experience,3,SAFE-03,"Adapt driving to different weather conditions",score_1_3,positioning,,,,
9,broader_safety,Broader safety and driving experience,4,SAFE-04,"Show a safe patient and considerate driving attitude",score_1_3,judgement,,,,
9,broader_safety,Broader safety and driving experience,5,SAFE-05,"Explain what to do after being involved in a collision",score_1_3,,,,,
9,broader_safety,Broader safety and driving experience,6,SAFE-06,"Respond safely when stopped by the emergency services",score_1_3,signs_signals,,,,
10,test_preparation,Independent driving and test preparation,1,TEST-01,"Drive independently by following a sat nav",score_1_3,signs_signals,,,,
10,test_preparation,Independent driving and test preparation,2,TEST-02,"Drive independently by following road signs",score_1_3,signs_signals,,,,
10,test_preparation,Independent driving and test preparation,3,TEST-03,"Apply skills safely on test-style routes without relying on memorisation",score_1_3,progress,,,,
10,test_preparation,Independent driving and test preparation,4,TEST-04,"Complete a mock driving test at an appropriate standard",score_1_3,,,,,
